Date,Recommended,Baseline
2021-06-17 00:00:00,241.7626735164333,253.82347429653456
2021-06-17 23:59:59,241.76279993788694,253.82365563538812
2021-06-18 00:00:00,237.10743672818452,248.9124810631068
2021-06-18 23:59:59,237.10759017172043,248.9127011624181
2021-06-19 23:59:59,237.1075907977857,248.91270206044575
2021-06-20 23:59:59,237.10749309247325,248.91256191200705
2021-06-21 00:00:00,239.78001229230367,251.73193555632034
2021-06-21 23:59:59,239.77985073753968,251.7317038222686
2021-06-22 00:00:00,239.46374487921602,251.39822800446072
2021-06-22 23:59:59,239.4638703845889,251.39840802928853
2021-06-23 00:00:00,238.04141485628782,249.89778882814144
2021-06-23 23:59:59,238.0413377627936,249.8976782452819
2021-06-24 00:00:00,239.10458372122503,251.01934937595678
2021-06-24 23:59:59,239.1045045354759,251.01923579196807
2021-06-25 00:00:00,240.31146593229738,252.2925194982621
2021-06-25 23:59:59,240.31144076309218,252.29248339557
2021-06-26 23:59:59,240.31176734359968,252.29295184244438
2021-06-27 23:59:59,240.31157297104625,252.2926730345761
2021-06-28 00:00:00,240.03856938743044,252.00466795364036
2021-06-28 23:59:59,240.0384161096177,252.00444809204225
2021-06-29 00:00:00,240.05277730822112,252.01959843589975
2021-06-29 23:59:59,240.05280968638388,252.01964487911602
2021-06-30 00:00:00,241.07297348584342,253.09586649401078
2021-06-30 23:59:59,241.07297871763157,253.09587399848442
2021-07-01 00:00:00,242.82592429227216,254.94514361397339
2021-07-01 23:59:59,242.8259480344168,254.9451776696907
2021-07-02 00:00:00,247.16518383322145,259.52285368727996
2021-07-02 23:59:59,247.16514769636532,259.5228018525963
2021-07-03 23:59:59,247.16513598526188,259.5227850541969
2021-07-04 23:59:59,247.16502467914162,259.52262539676803
2021-07-05 23:59:59,247.16526115918842,259.5229646035983
2021-07-06 00:00:00,245.7140616811063,257.992021977852
2021-07-06 23:59:59,245.7139536733373,257.9918670515761
2021-07-07 00:00:00,247.7830051063015,260.17461248487285
2021-07-08 00:00:00,247.30884560039695,259.674398000265
2021-07-09 00:00:00,248.27152437397115,260.68997579754597
2021-07-12 00:00:00,247.88357229115877,260.2807058182669
2021-07-13 00:00:00,247.58184774717446,259.96240156540847
2021-07-14 00:00:00,249.23420314754532,261.70555359482694
2021-07-15 00:00:00,246.28868036409912,258.598174869578
2021-07-16 00:00:00,245.90074983386097,258.1889276271831
2021-07-19 00:00:00,244.14780569605864,256.3396595274864
2021-07-20 00:00:00,246.40363030013398,258.71944128371365
2021-07-21 00:00:00,247.8979536054981,260.2958773832163
2021-07-22 00:00:00,248.60199143089812,261.0386019592113
2021-07-23 00:00:00,251.2026644062398,263.7821814420533
2021-07-26 00:00:00,251.3176143422746,263.90344785618896
2021-07-27 00:00:00,252.45272951460728,265.10093740101166
2021-07-28 00:00:00,251.76303133523643,264.3733404319899
2021-07-29 00:00:00,251.76303133523643,264.3733404319899
2021-07-30 00:00:00,251.79177384817913,264.4036623407968
2021-08-02 00:00:00,251.8923625856106,264.50977841107505
2021-08-03 00:00:00,254.93845255391406,267.723250469718
2021-08-04 00:00:00,253.4585119997276,266.16198745095704
2021-08-05 00:00:00,253.9326700687938,266.66220041977266
2021-08-06 00:00:00,253.0993024298579,265.7830393804848
2021-08-09 00:00:00,253.9614140185748,266.6925238443718
2021-08-10 00:00:00,254.04762000482867,266.78346683390834
2021-08-11 00:00:00,254.09072371637478,266.8289390865727
2021-08-12 00:00:00,256.1022886866152,268.9510391864634
2021-08-13 00:00:00,257.61097319058274,270.5426256298236
2021-08-16 00:00:00,259.8955403076008,272.95272929485776
2021-08-17 00:00:00,262.2375938873424,275.42347829329793
2021-08-18 00:00:00,258.9616040469693,271.96747340638365
2021-08-19 00:00:00,260.9444480568413,274.0592743343517
2021-08-20 00:00:00,262.1944901757963,275.3780060406336
2021-08-23 00:00:00,259.56507468751204,272.6041046489847
2021-08-24 00:00:00,256.37529083339274,269.23904275160686
2021-08-25 00:00:00,254.70855411868263,267.4807191572389
2021-08-26 00:00:00,253.3723045766354,266.0710429456283
2021-08-27 00:00:00,252.8406600448455,265.5101846434066
2021-08-30 00:00:00,253.88956779408602,266.61672968290054
2021-08-31 00:00:00,253.1280449428006,265.8133612892918
2021-09-01 00:00:00,254.0045162932826,266.7379945812439
2021-09-02 00:00:00,255.71433660380293,268.5417692071843
2021-09-03 00:00:00,255.8723888145456,268.7085063581921
2021-09-07 00:00:00,251.9642088100994,264.5855725725463
2021-09-08 00:00:00,251.3607180538207,263.9489201088533
2021-09-09 00:00:00,245.85764612231486,258.1434553745187
2021-09-10 00:00:00,244.2771153938586,256.4760747696872
2021-09-13 00:00:00,242.59601748054507,254.70260083146184
2021-09-14 00:00:00,241.15917920106637,253.186808549573
2021-09-15 00:00:00,242.05001175015175,254.12659218538266
2021-09-16 00:00:00,241.76264840477086,253.82343827638175
2021-09-17 00:00:00,241.08733297657758,253.1110143881017
2021-09-20 00:00:00,239.73670212019107,251.68616661154164
2021-09-21 00:00:00,240.771227118254,252.77753857029387
